team,season,sos_sp,n_rated_opponents
Northern Iowa,2001,-3.8,2
Northwestern,2001,5.1364,11
Northwestern State,2001,1.3,2
Notre Dame,2001,9.9455,11
Ohio,2001,-0.4455,11
Ohio State,2001,5.2273,11
Oklahoma,2001,2.7917,12
Oklahoma State,2001,7.47,10
Ole Miss,2001,2.31,10
Oregon,2001,7.0364,11
Oregon State,2001,6.61,10
Penn State,2001,10.8273,11
Pittsburgh,2001,8.01,10
Purdue,2001,6.6182,11
Rice,2001,-9.3,12
Richmond,2001,-5.7,2
Rutgers,2001,1.6364,11
SMU,2001,-5.7818,11
Sam Houston,2001,-14.0,2
San Diego State,2001,0.2,10
San José State,2001,-1.3667,12
South Carolina,2001,10.67,10
South Florida,2001,-4.55,8
Southeast Missouri State,2001,-26.4,1
Southern,2001,-11.3,1
Southern Illinois,2001,-12.8,1
Southern Miss,2001,-1.0636,11
Southern Utah,2001,1.8,2
Stanford,2001,7.0818,11
Stephen F. Austin,2001,14.7,1
Syracuse,2001,9.9083,12
TCU,2001,-2.84,10
Temple,2001,4.2818,11
Tennessee,2001,12.9083,12
Tennessee Tech,2001,-10.8,1
Texas,2001,3.5333,12
Texas A&M,2001,8.04,10
Texas Southern,2001,-28.8,1
Texas State,2001,-3.8,1
Texas Tech,2001,6.1,10
The Citadel,2001,11.0,1
Toledo,2001,-6.7909,11
Troy,2001,4.6429,7
Tulane,2001,0.9455,11
Tulsa,2001,-5.05,10
UAB,2001,-1.7,10
UCF,2001,-1.85,10
UCLA,2001,8.6636,11
UConn,2001,-7.93,10
UL Monroe,2001,-9.17,10
UNLV,2001,-2.1091,11
USC,2001,6.9273,11
UTEP,2001,-7.12,10
Utah,2001,-0.7364,11
Utah State,2001,4.2889,9
Vanderbilt,2001,8.69,10
Virginia,2001,7.8818,11
Virginia Tech,2001,3.2182,11
Wake Forest,2001,5.41,10
Washington,2001,7.9727,11
Washington State,2001,3.77,10
Weber State,2001,5.25,2
West Virginia,2001,7.6727,11
Western Carolina,2001,14.0,1
Western Illinois,2001,2.2,1
Western Kentucky,2001,8.1,1
Western Michigan,2001,-0.9,10
William & Mary,2001,10.8,1
Wisconsin,2001,10.8,11
Wofford,2001,12.5,2
Wyoming,2001,-0.31,10
Youngstown State,2001,15.4,1
Air Force,2002,-5.625,12
Akron,2002,-4.1545,11
Alabama,2002,7.3846,13
App State,2002,0.5,1
Arizona,2002,9.2455,11
Arizona State,2002,7.8417,12
Arkansas,2002,6.1615,13
Arkansas State,2002,-7.9909,11
Army,2002,-5.1909,11
Auburn,2002,8.5364,11
Austin Peay,2002,-18.9,1
BYU,2002,-3.6083,12
Ball State,2002,-4.9091,11
Baylor,2002,7.9182,11
Boise State,2002,-11.175,12
Boston College,2002,2.2417,12
Bowling Green,2002,-7.2455,11
Buffalo,2002,-6.3636,11
Cal Poly,2002,-5.75,2
California,2002,6.175,12
Central Michigan,2002,-5.4909,11
Charleston Southern,2002,15.2,1
Chattanooga,2002,13.7,1
Cincinnati,2002,1.2308,13
Clemson,2002,6.3167,12
Colorado,2002,11.0846,13
Colorado State,2002,-0.2231,13
Duke,2002,5.0083,12
East Carolina,2002,-0.0083,12
East Tennessee State,2002,19.2,1
Eastern Illinois,2002,13.9,2
Eastern Kentucky,2002,13.4,1
Eastern Michigan,2002,-3.72,10
Eastern Washington,2002,10.2,1
Florida,2002,8.1,12
Florida A&M,2002,4.9,2
Florida Atlantic,2002,-2.5333,3
Florida State,2002,10.6615,13
Fresno State,2002,-4.1462,13
Furman,2002,-6.7,1
Georgia,2002,7.475,12
Georgia Tech,2002,6.6,12
Hawai'i,2002,-7.2167,12
Holy Cross,2002,-29.2,1
Houston,2002,-3.05,12
Idaho,2002,-3.2273,11
Idaho State,2002,-16.0,1
Illinois,2002,4.4667,12
Illinois State,2002,11.3,1
Indiana,2002,5.4091,11
Indiana State,2002,-8.7,2
Iowa,2002,2.7167,12
Iowa State,2002,10.8333,12
Jackson State,2002,4.0,1
Jacksonville State,2002,-11.5,1
Kansas,2002,3.4818,11
Kansas State,2002,6.17,10
Kent State,2002,-2.0,10
Kentucky,2002,1.1333,12
LSU,2002,6.6545,11
Lehigh,2002,-26.0,1
Liberty,2002,-7.0,2
Louisiana,2002,-4.775,12
Louisiana Tech,2002,-5.0083,12
Louisville,2002,-1.7083,12
Marshall,2002,-8.1273,11
Maryland,2002,4.55,12
Massachusetts,2002,19.2,1
McNeese,2002,-5.4,2
Memphis,2002,-1.6727,11
Miami,2002,7.2091,11
Miami (OH),2002,-1.3833,12
Michigan,2002,9.7083,12
Michigan State,2002,4.55,12
Middle Tennessee,2002,-6.3364,11
Minnesota,2002,3.8727,11
Mississippi State,2002,6.1727,11
Missouri,2002,6.325,12
Missouri State,2002,-20.9,1
Montana,2002,-15.9,1
Montana State,2002,21.6,1
Murray State,2002,-10.3,1
NC State,2002,5.3364,11
Navy,2002,-3.0,12
Nebraska,2002,6.9333,12
Nevada,2002,-5.725,12
New Hampshire,2002,-19.1,1
New Mexico,2002,-3.4833,12
New Mexico State,2002,-7.825,12
Nicholls,2002,3.7,1
North Carolina,2002,10.2667,12
North Texas,2002,-3.0,11
Northeastern,2002,-11.1,1
Northern Arizona,2002,-2.7,1
Northern Illinois,2002,-3.1,11
Northern Iowa,2002,7.9,1
Northwestern,2002,4.825,12
Northwestern State,2002,25.2,1
Notre Dame,2002,8.075,12
Ohio,2002,-4.9182,11
Ohio State,2002,5.6,13
Oklahoma,2002,6.6077,13
Oklahoma State,2002,4.3909,11
Ole Miss,2002,5.1083,12
Oregon,2002,6.9727,11
Oregon State,2002,6.6455,11
Penn State,2002,5.375,12
Pittsburgh,2002,4.4417,12
Portland State,2002,5.3,1
Purdue,2002,6.2545,11
Rhode Island,2002,-3.2,1
Rice,2002,-10.7455,11
Richmond,2002,-3.5,1
Rutgers,2002,4.6455,11
SMU,2002,-7.4917,12
Sacramento State,2002,-27.0,1
Sam Houston,2002,-18.7,1
Samford,2002,-16.0,1
San Diego State,2002,0.1385,13
San José State,2002,-5.1,13
South Carolina,2002,5.95,12
South Florida,2002,3.2556,9
Southeast Missouri State,2002,-20.4,2
Southern,2002,1.0,1
Southern Illinois,2002,-27.8,1
Southern Miss,2002,0.5,11
Southern Utah,2002,-19.9,2
Stanford,2002,11.6636,11
Syracuse,2002,6.4182,11
TCU,2002,-6.2727,11
Temple,2002,7.8273,11
Tennessee,2002,4.275,12
Tennessee Tech,2002,7.85,2
Texas,2002,6.8583,12
Texas A&M,2002,4.3417,12
Texas State,2002,7.3,1
Texas Tech,2002,8.7692,13
The Citadel,2002,0.85,2
Toledo,2002,-3.45,12
Troy,2002,0.475,8
Tulane,2002,-5.4727,11
Tulsa,2002,-9.2083,12
UAB,2002,-3.7083,12
UCF,2002,-3.3909,11
UCLA,2002,10.6167,12
UConn,2002,-2.7727,11
UL Monroe,2002,-3.9273,11
UNLV,2002,-1.8083,12
USC,2002,14.3333,12
UT Martin,2002,-20.9,1
UTEP,2002,-6.4455,11
Utah,2002,-3.8364,11
Utah State,2002,-4.13,10
Vanderbilt,2002,8.5909,11
Villanova,2002,-16.9,1
Virginia,2002,7.8923,13
Virginia Tech,2002,4.1615,13
Wake Forest,2002,5.6083,12
Washington,2002,7.6333,12
Washington State,2002,8.0273,11
Weber State,2002,-4.4,1
West Virginia,2002,7.4273,11
Western Carolina,2002,19.2,1
Western Illinois,2002,4.0,1
Western Kentucky,2002,25.3,1
Western Michigan,2002,-1.8545,11
William & Mary,2002,-12.8,1
Wisconsin,2002,6.7308,13
Wofford,2002,16.6,1
Wyoming,2002,-0.6545,11
Air Force,2003,-0.4545,11
Akron,2003,-8.16,10
Alabama,2003,10.6077,13
App State,2003,-0.7,1
Arizona,2003,8.9,12
Arizona State,2003,6.5364,11
Arkansas,2003,7.2583,12
Arkansas State,2003,-9.4,10
Army,2003,-4.7692,13
Auburn,2003,10.7727,11
BYU,2003,7.5167,12
Ball State,2003,-0.7727,11
Baylor,2003,4.9727,11
Boise State,2003,-9.0083,12
Boston College,2003,5.725,12
Bowling Green,2003,-0.4364,11
Buffalo,2003,-2.1091,11
Cal Poly,2003,-21.75,2
California,2003,6.8692,13
Central Michigan,2003,-5.2,10
Charleston Southern,2003,-5.6,1
Chattanooga,2003,-8.6,1
Cincinnati,2003,-2.3545,11
Clemson,2003,9.7091,11
Colgate,2003,-20.1,1
Colorado,2003,9.3,12
Colorado State,2003,5.4636,11
Delaware,2003,-3.8,1
Duke,2003,10.4182,11
East Carolina,2003,-1.0667,12
East Tennessee State,2003,-22.0,1
Eastern Illinois,2003,8.1,1
Eastern Kentucky,2003,-5.75,2
Eastern Michigan,2003,-5.6,10
Eastern Washington,2003,-10.7,2
Florida,2003,12.1727,11
Florida A&M,2003,21.6,1
Florida Atlantic,2003,-18.75,2
Florida International,2003,-13.75,2
Florida State,2003,11.5833,12
Fresno State,2003,-2.025,12
Furman,2003,19.3,1
Georgia,2003,10.4154,13
Georgia Tech,2003,11.1083,12
Grambling,2003,-20.2,1
Hawai'i,2003,-4.7667,12
Hofstra,2003,5.4,1
Houston,2003,-7.0333,12
Howard,2003,-12.5,1
Idaho,2003,-10.27,10
Idaho State,2003,12.8,1
Illinois,2003,9.4727,11
Illinois State,2003,-12.1,1
Indiana,2003,6.6636,11
Indiana State,2003,-15.1,2
Iowa,2003,6.4333,12
Iowa State,2003,9.8545,11
Jacksonville State,2003,-5.4,1
James Madison,2003,16.0,1
Kansas,2003,3.2182,11
Kansas State,2003,6.2083,12
Kent State,2003,-3.3,11
Kentucky,2003,4.8455,11
LSU,2003,8.4,12
Lehigh,2003,-1.8,1
Liberty,2003,5.1,2
Louisiana,2003,-5.2364,11
Louisiana Tech,2003,-2.8833,12
Louisville,2003,-9.5083,12
Marshall,2003,-3.6,11
Maryland,2003,6.6455,11
Massachusetts,2003,25.8,1
McNeese,2003,25.8,1
Memphis,2003,-7.5,11
Miami,2003,6.9667,12
Miami (OH),2003,-3.0231,13
Michigan,2003,3.5,12
Michigan State,2003,4.8,12
Middle Tennessee,2003,-6.6545,11
Minnesota,2003,-0.75,12
Mississippi State,2003,7.6,12
Missouri,2003,2.3364,11
Missouri State,2003,12.2,1
Montana,2003,-18.9,1
Montana State,2003,-3.5,1
Murray State,2003,-4.5,1
NC State,2003,10.8273,11
Navy,2003,-9.32,10
Nebraska,2003,3.3917,12
Nevada,2003,-4.7909,11
New Hampshire,2003,-22.8,1
New Mexico,2003,1.6273,11
New Mexico State,2003,-6.2364,11
Nicholls,2003,-5.6,1
North Carolina,2003,9.05,12
North Texas,2003,-9.925,12
Northern Arizona,2003,0.0,1
Northern Illinois,2003,-6.3818,11
Northern Iowa,2003,-9.6,1
Northwestern,2003,5.9417,12
Northwestern State,2003,-19.4,2
Notre Dame,2003,11.9667,12
Ohio,2003,-4.8636,11
Ohio State,2003,8.3417,12
Oklahoma,2003,4.7154,13
Oklahoma State,2003,2.4909,11
Ole Miss,2003,4.175,12
Oregon,2003,4.6417,12
Oregon State,2003,5.0455,11
Penn State,2003,6.825,12
Pittsburgh,2003,3.6,12
Portland State,2003,-2.4,1
Purdue,2003,6.3417,12
Rhode Island,2003,-3.1,1
Rice,2003,-8.0917,12
Rutgers,2003,2.3917,12
SE Louisiana,2003,-6.2,1
SMU,2003,-5.5833,12
Sacramento State,2003,16.3,1
Sam Houston,2003,-23.6,2
Samford,2003,-2.5,1
San Diego State,2003,2.23,10
San José State,2003,-6.17,10
South Carolina,2003,10.2833,12
South Florida,2003,-3.8111,9
Southeast Missouri State,2003,-26.15,2
Southern Miss,2003,-2.575,12
Southern Utah,2003,-9.0,1
Stanford,2003,7.5727,11
Stephen F. Austin,2003,-26.0,1
Syracuse,2003,3.9667,12
TCU,2003,-8.8167,12
Temple,2003,5.7909,11
Tennessee,2003,7.3167,12
Tennessee Tech,2003,-0.95,2
Texas,2003,3.4417,12
Texas A&M,2003,7.1,12
Texas State,2003,1.5,2
Texas Tech,2003,4.9083,12
The Citadel,2003,20.8,1
Toledo,2003,-5.0364,11
Troy,2003,0.2,10
Tulane,2003,-4.4909,11
Tulsa,2003,-8.7364,11
UAB,2003,-2.875,12
UCF,2003,-4.2273,11
UCLA,2003,6.6833,12
UConn,2003,-4.4909,11
UL Monroe,2003,-5.61,10
UNLV,2003,2.1333,12
USC,2003,5.85,12
UT Martin,2003,-32.6,1
UTEP,2003,-6.7818,11
Utah,2003,2.1273,11
Utah State,2003,-7.4667,12
VMI,2003,-3.8,1
Vanderbilt,2003,8.8273,11
Villanova,2003,-7.7,1
Virginia,2003,8.25,12
Virginia Tech,2003,4.0818,11
Wake Forest,2003,8.3167,12
Washington,2003,4.1333,12
Washington State,2003,3.975,12
Weber State,2003,11.0,1
West Virginia,2003,3.6583,12
Western Carolina,2003,6.65,2
Western Illinois,2003,4.45,2
Western Kentucky,2003,17.9,1
