name,draft_year,position,college,conference_tier,combine_forty,combine_speed_score,games_college,production_score,draft_round,draft_grade,nfl_success,experience_years,pro_bowls,seasons_started,career_av,height_in,weight_lb,vertical,bench,broad_in,cone,shuttle,age
Robert Davis,2017,WR,Georgia State,1,4.44,52.0,,71.79,6,2,0,3,0,0,0.0,75.0,219.0,41.0,19.0,136.0,6.82,4.28,22.0
Justin Senior,2017,OT,Mississippi State,3,5.55,5.88,,,6,2,0,0,0,0,0.0,77.0,331.0,23.0,,98.0,8.19,5.06,23.0
Conor McDermott,2017,OT,UCLA,5,5.18,49.41,,,6,2,0,7,0,0,7.0,80.0,307.0,28.5,,105.0,7.52,4.58,24.0
Kofi Amichia,2017,C,South Florida,6,,,,,6,2,0,0,0,0,0.0,,,,,,,,23.0
Colin Holba,2017,LS,Louisville,4,5.19,0.0,,,6,2,0,4,0,0,0.0,76.0,248.0,28.0,,115.0,,,23.0
Elijah Qualls,2017,DT,Washington,2,5.13,27.5,,,6,2,0,1,0,0,1.0,73.0,313.0,31.5,33.0,105.0,7.65,4.66,22.0
Brad Kaaya,2017,QB,Miami (FL),2,,,,75.49,6,2,0,0,0,0,0.0,76.0,214.0,,,,,,22.0
Marquez White,2017,CB,Florida State,2,4.59,13.33,,,6,2,0,0,0,0,0.0,72.0,194.0,36.0,,123.0,,,22.0
Corey Levin,2017,OL,Chattanooga,10,5.16,45.88,,,6,2,0,9,0,0,7.0,76.0,307.0,26.5,26.0,106.0,7.55,4.73,23.0
Leon McQuay,2017,S,USC,2,,,,,6,2,0,1,0,0,0.0,,,,,,,,22.0
Stacy Coley,2017,WR,Miami (FL),2,4.45,50.0,,65.0,7,2,0,2,0,0,0.0,73.0,195.0,34.0,10.0,122.0,,,23.0
Ifeadi Odenigbo,2017,DL,Northwestern,5,4.72,72.5,,,7,2,0,6,0,1,11.0,75.0,258.0,31.5,25.0,128.0,7.26,4.4,23.0
Shalom Luani,2017,S,Washington State,4,4.55,44.44,,,7,2,0,3,0,0,2.0,71.0,202.0,31.0,12.0,116.0,6.87,4.21,23.0
Jalen Myrick,2017,CB,Minnesota,4,4.28,82.22,,,7,2,0,1,0,0,0.0,70.0,200.0,37.5,13.0,124.0,7.06,4.22,22.0
Stevie Tu'ikolovatu,2017,NT,USC,2,5.45,0.0,,,7,2,0,0,0,0,0.0,73.0,331.0,24.5,28.0,91.0,7.83,5.0,26.0
Zane Gonzalez,2017,K,Arizona State,3,,,,,7,2,0,9,0,1,14.0,72.0,202.0,,,,,,22.0
Isaac Rochell,2017,DT,Notre Dame,2,4.89,57.5,,,7,2,0,7,0,0,10.0,76.0,280.0,31.5,25.0,114.0,,,22.0
David Moore,2017,WR,East Central (OK),10,,,,,7,2,0,9,0,2,15.0,,,,,,,,22.0
Josh Carraway,2017,OLB,TCU,3,4.74,40.0,,,7,2,0,1,0,0,0.0,75.0,242.0,29.5,25.0,120.0,7.2,4.44,23.0
Joey Ivie,2017,DT,Florida,2,,,,,7,2,0,3,0,0,0.0,,,,,,,,22.0
Adrian Colbert,2017,DB,Miami (FL),2,,,,,7,2,0,8,0,1,8.0,,,,,,,,23.0
Josh Harvey-Clemons,2017,S,Louisville,4,,,,,7,2,0,3,0,0,4.0,76.0,217.0,31.5,12.0,121.0,,,23.0
Jylan Ware,2017,OT,Alabama State,1,,,,,7,2,0,1,0,0,0.0,,,,,,,,23.0
Elijah Lee,2017,LB,Kansas State,4,,,,,7,2,0,6,0,0,8.0,,,,,,,,21.0
Harrison Butker,2017,K,Georgia Tech,3,,,,,7,2,1,9,0,3,27.0,76.0,199.0,,,,,,22.0
Ejuan Price,2017,DE,Pittsburgh,3,4.84,40.0,,,7,2,0,1,0,0,0.0,71.0,241.0,31.5,20.0,117.0,,4.34,24.0
Joshua Holsey,2017,DB,Auburn,2,,,,,7,2,0,2,0,0,1.0,,,,,,,,23.0
Brad Seaton,2017,OT,Villanova,9,,,,,7,2,0,0,0,0,0.0,,,,,,,,23.0
Isaiah Ford,2017,WR,Virginia Tech,3,4.61,18.0,,84.52,7,2,0,5,0,0,5.0,73.0,194.0,35.5,14.0,127.0,6.94,4.34,21.0
Devante Mays,2017,RB,Utah State,7,,,,57.42,7,2,0,1,0,0,0.0,,,,,,,,23.0
Noah Brown,2017,WR,Ohio State,1,,,,30.16,7,2,0,9,0,2,19.0,74.0,222.0,,19.0,,7.07,4.33,21.0
Marquez Williams,2017,FB,Miami (FL),2,,,,,7,2,0,1,0,0,0.0,,,,,,,,23.0
Khalfani Muhammad,2017,RB,California,4,,,,50.12,7,2,0,0,0,0,0.0,,,,,,,,22.0
Elijah Hood,2017,RB,North Carolina,3,,,,78.01,7,2,0,1,0,0,0.0,72.0,232.0,,18.0,,,,21.0
Kyle Fuller,2017,C,Baylor,3,5.24,48.0,,,7,2,0,6,0,0,7.0,77.0,307.0,26.0,23.0,96.0,7.71,4.84,23.0
Treyvon Hester,2017,DT,Toledo,8,,,,,7,2,0,3,0,0,3.0,74.0,300.0,,,,,,24.0
Jack Tocho,2017,CB,NC State,4,4.54,24.44,,,7,2,0,0,0,0,0.0,72.0,202.0,35.0,21.0,125.0,,,21.0
Jordan Carrell,2017,DT,Colorado,3,,,,,7,2,0,0,0,0,0.0,,,,,,,,23.0
Malachi Dupre,2017,WR,LSU,1,4.52,36.0,,49.05,7,2,0,2,0,0,0.0,74.0,196.0,39.5,11.0,135.0,7.19,4.26,21.0
Keion Adams,2017,OLB,Western Michigan,8,,,,,7,2,0,0,0,0,0.0,,,,,,,,22.0
Chris Carson,2017,RB,Oklahoma State,3,4.58,36.67,,82.38,7,2,1,5,0,3,29.0,72.0,218.0,37.0,23.0,130.0,,,22.0
Pat O'Connor,2017,DE,Eastern Michigan,8,,,,,7,2,0,9,0,0,6.0,,,,,,,,23.0
Mason Schreck,2017,TE,Buffalo,8,,,,57.35,7,2,0,6,0,0,0.0,,,,,,,,23.0
Matthew Dayes,2017,RB,NC State,4,4.47,55.0,,81.92,7,2,0,2,0,0,0.0,69.0,205.0,28.0,18.0,109.0,,,23.0
Chad Kelly,2017,QB,Ole Miss,3,,,,69.82,7,2,0,2,0,0,0.0,,,,,,,,23.0
Baker Mayfield,2018,QB,Oklahoma,2,4.84,32.5,,100.0,1,0,1,8,2,7,80.0,73.0,215.0,29.0,,111.0,7.0,4.28,23.0
Saquon Barkley,2018,RB,Penn State,2,4.4,66.67,,100.0,1,0,1,8,3,7,65.0,72.0,233.0,41.0,29.0,,,4.24,21.0
Sam Darnold,2018,QB,USC,2,4.85,31.25,,70.28,1,0,1,8,2,6,49.0,75.0,221.0,26.5,,105.0,6.96,4.4,21.0
Denzel Ward,2018,CB,Ohio State,1,4.32,73.33,,,1,0,1,8,5,8,49.0,70.0,183.0,39.0,16.0,136.0,,,21.0
Bradley Chubb,2018,DE,NC State,4,4.65,69.23,,,1,0,1,8,2,4,41.0,76.0,269.0,36.0,24.0,121.0,7.37,4.41,22.0
Quenton Nelson,2018,OG,Notre Dame,2,,,,,1,0,1,8,8,8,79.0,77.0,325.0,26.5,35.0,105.0,7.65,4.62,22.0
Josh Allen,2018,QB,Wyoming,7,4.75,43.75,,55.49,1,0,1,8,4,8,111.0,77.0,237.0,33.5,,119.0,6.9,4.4,22.0
Roquan Smith,2018,ILB,Georgia,1,4.51,75.38,,,1,0,1,8,4,8,84.0,73.0,236.0,,,,,,21.0
Mike McGlinchey,2018,OT,Notre Dame,2,,,,,1,0,1,8,0,7,46.0,80.0,309.0,28.5,24.0,105.0,,,24.0
Josh Rosen,2018,QB,UCLA,5,4.92,22.5,,100.0,1,0,0,4,0,1,3.0,76.0,226.0,31.0,,111.0,7.09,4.28,21.0
Minkah Fitzpatrick,2018,S,Alabama,1,4.46,64.44,,,1,0,1,8,5,7,61.0,73.0,201.0,33.0,14.0,121.0,,,21.0
Vita Vea,2018,DT,Washington,2,5.1,31.25,,,1,0,1,8,2,6,51.0,76.0,347.0,,41.0,,,,23.0
Daron Payne,2018,DT,Alabama,1,4.95,50.0,,,1,0,1,8,1,8,53.0,74.0,311.0,28.5,27.0,107.0,7.58,4.71,21.0
Marcus Davenport,2018,DE,UTSA,8,4.58,80.0,,,1,0,0,8,0,2,22.0,78.0,264.0,33.5,22.0,124.0,7.2,4.41,22.0
Kolton Miller,2018,OT,UCLA,5,4.95,76.47,,,1,0,1,8,0,7,42.0,81.0,309.0,31.5,24.0,121.0,7.34,4.49,23.0
Tremaine Edmunds,2018,ILB,Virginia Tech,3,4.54,70.77,,,1,0,1,8,2,8,62.0,77.0,253.0,,19.0,117.0,,,20.0
Derwin James,2018,S,Florida State,2,4.47,62.22,,,1,0,1,8,5,6,46.0,75.0,215.0,40.0,21.0,132.0,,,22.0
Jaire Alexander,2018,CB,Louisville,4,4.38,60.0,,,1,0,1,8,2,5,34.0,71.0,192.0,35.0,14.0,127.0,6.71,3.98,21.0
Leighton Vander Esch,2018,OLB,Boise State,7,4.65,53.85,,,1,0,1,6,1,5,35.0,76.0,256.0,39.5,20.0,124.0,6.88,4.15,21.0
Frank Ragnow,2018,C,Arkansas,3,,,,,1,0,1,7,4,6,51.0,77.0,312.0,,26.0,,,,22.0
Billy Price,2018,C,Ohio State,1,,,,,1,0,1,5,0,3,18.0,76.0,305.0,,,,,,23.0
Rashaan Evans,2018,ILB,Alabama,1,,,,,1,0,1,7,0,4,32.0,75.0,232.0,30.0,,116.0,6.95,4.36,22.0
Isaiah Wynn,2018,OT,Georgia,1,,,,,1,0,1,7,0,3,23.0,75.0,313.0,,,,,,22.0
D.J. Moore,2018,WR,Maryland,4,4.42,56.0,,100.0,1,0,1,8,0,8,61.0,72.0,210.0,39.5,15.0,132.0,6.95,4.07,21.0
Hayden Hurst,2018,TE,South Carolina,3,4.67,55.0,,40.52,1,0,0,7,0,1,17.0,76.0,250.0,31.5,,120.0,7.19,4.37,25.0
Calvin Ridley,2018,WR,Alabama,1,4.43,54.0,,53.79,1,0,1,8,0,4,41.0,72.0,189.0,31.0,15.0,110.0,6.88,4.41,23.0
Rashaad Penny,2018,RB,San Diego State,7,4.46,56.67,,100.0,1,0,0,6,0,0,13.0,71.0,220.0,32.5,13.0,120.0,,,22.0
Terrell Edmunds,2018,S,Virginia Tech,3,4.47,62.22,,,1,0,1,8,0,5,27.0,74.0,220.0,41.5,,134.0,,,21.0
Taven Bryan,2018,DT,Florida,2,4.98,46.25,,,1,0,1,8,0,4,22.0,76.0,291.0,35.0,30.0,119.0,7.12,4.48,22.0
Mike Hughes,2018,CB,UCF,4,4.53,26.67,,,1,0,0,8,0,2,17.0,71.0,191.0,35.5,20.0,127.0,6.7,4.13,21.0
Sony Michel,2018,RB,Georgia,1,4.54,43.33,,95.68,1,0,0,5,0,2,21.0,71.0,214.0,,22.0,,,4.21,23.0
Lamar Jackson,2018,QB,Louisville,4,,,,90.93,1,0,1,8,4,7,110.0,74.0,216.0,,,,,,21.0
Austin Corbett,2018,C,Nevada,7,5.15,60.0,,,2,0,1,8,0,4,29.0,76.0,306.0,28.0,19.0,106.0,7.87,4.5,23.0
Will Hernandez,2018,OG,UTEP,6,5.15,53.33,,,2,0,1,8,0,5,38.0,74.0,327.0,24.0,37.0,104.0,7.59,4.7,23.0
Nick Chubb,2018,RB,Georgia,1,4.52,46.67,,97.93,2,0,1,8,4,6,49.0,71.0,227.0,38.5,29.0,128.0,7.09,4.25,22.0
Shaquille Leonard,2018,LB,South Carolina State,3,4.7,30.0,,,2,0,1,6,3,5,60.0,74.0,234.0,,17.0,,,,23.0
Braden Smith,2018,OG,Auburn,2,5.22,44.0,,,2,0,1,8,0,8,45.0,78.0,315.0,33.5,35.0,113.0,,4.77,22.0
Ronald Jones II,2018,RB,USC,2,4.65,25.0,,100.0,2,0,0,5,0,2,18.0,71.0,205.0,36.5,,,,,21.0
James Daniels,2018,C,Iowa,3,,,,,2,0,1,8,0,6,29.0,75.0,306.0,30.5,21.0,108.0,7.29,4.4,20.0
Courtland Sutton,2018,WR,SMU,6,4.54,32.0,,100.0,2,0,1,8,2,6,45.0,75.0,218.0,35.5,18.0,124.0,6.57,4.11,22.0
Harold Landry,2018,OLB,Boston College,4,4.64,55.38,,,2,0,1,8,1,6,45.0,75.0,252.0,36.0,24.0,119.0,6.88,4.19,22.0
Mike Gesicki,2018,TE,Penn State,2,4.54,76.67,,69.38,2,0,0,8,0,2,28.0,77.0,247.0,41.5,22.0,129.0,6.76,4.1,22.0
Kerryon Johnson,2018,RB,Auburn,2,,,,100.0,2,0,0,4,0,1,11.0,71.0,213.0,40.0,11.0,126.0,7.07,4.29,21.0
Dante Pettis,2018,WR,Washington,2,,,,69.88,2,0,0,8,0,0,11.0,72.0,186.0,,,,,,22.0
Josh Jackson,2018,CB,Iowa,3,4.56,20.0,,,2,0,0,5,0,0,8.0,73.0,192.0,38.0,18.0,123.0,6.86,4.03,22.0
Breeland Speaks,2018,DE,Ole Miss,3,4.87,35.38,,,2,0,0,1,0,0,3.0,75.0,283.0,32.5,,110.0,7.63,4.65,22.0
Christian Kirk,2018,WR,Texas A&M,2,4.47,46.0,,76.48,2,0,1,8,0,7,42.0,70.0,201.0,35.5,20.0,115.0,7.09,4.45,21.0
Uchenna Nwosu,2018,OLB,USC,2,4.65,53.85,,,2,0,1,8,0,3,29.0,75.0,251.0,32.0,20.0,119.0,,,21.0
Dallas Goedert,2018,TE,South Dakota State,9,,,,,2,0,1,8,0,8,38.0,77.0,256.0,,23.0,,,,23.0
Connor Williams,2018,OT,Texas,2,5.05,64.71,,,2,0,1,7,0,6,34.0,77.0,296.0,34.0,26.0,112.0,7.83,4.63,21.0
Anthony Miller,2018,WR,Memphis,6,,,,100.0,2,0,0,7,0,2,12.0,71.0,201.0,,22.0,,,,23.0
Kemoko Turay,2018,OLB,Rutgers,4,4.65,53.85,,,2,0,0,5,0,0,5.0,77.0,253.0,,,,,,23.0
M.J. Stewart,2018,CB,North Carolina,3,4.54,24.44,,,2,0,0,8,0,0,9.0,71.0,200.0,35.0,18.0,118.0,6.9,4.28,22.0
Jessie Bates III,2018,S,Wake Forest,4,4.5,55.56,,,2,0,1,8,1,8,55.0,74.0,195.0,35.5,,117.0,6.78,4.26,21.0
Donte Jackson,2018,CB,LSU,1,4.32,73.33,,,2,0,1,8,0,8,34.0,71.0,175.0,,7.0,124.0,,,22.0
Duke Dawson,2018,CB,Florida,2,4.46,42.22,,,2,0,0,3,0,0,3.0,70.0,208.0,,15.0,,,,21.0
P.J. Hall,2018,DT,Sam Houston State,10,,,,,2,0,0,3,0,2,11.0,,,,,,,,23.0
Isaiah Oliver,2018,CB,Colorado,3,4.5,33.33,,,2,0,0,8,0,2,18.0,73.0,190.0,,,,,,21.0
Derrius Guice,2018,RB,LSU,1,4.49,51.67,,100.0,2,0,0,2,0,0,2.0,70.0,224.0,31.5,15.0,,,,21.0
James Washington,2018,WR,Oklahoma State,3,4.54,32.0,,98.31,2,0,0,5,0,2,11.0,71.0,213.0,34.5,14.0,120.0,7.11,4.32,22.0
DJ Chark,2018,WR,LSU,1,4.34,72.0,,,2,0,1,7,1,4,21.0,75.0,199.0,40.0,16.0,129.0,,,21.0
Brian O'Neill,2018,OT,Pittsburgh,3,4.82,91.76,,,2,0,1,8,2,8,56.0,79.0,297.0,29.5,22.0,107.0,7.14,4.5,22.0
Carlton Davis,2018,CB,Auburn,2,4.53,26.67,,,2,0,1,8,0,7,34.0,73.0,203.0,34.0,16.0,124.0,,,21.0
Tyquan Lewis,2018,DE,Ohio State,1,,,,,2,0,0,8,0,0,13.0,75.0,265.0,35.5,,122.0,,,23.0
Brandon Parker,2018,OT,North Carolina A&T,3,5.4,23.53,,,3,1,0,6,0,2,15.0,80.0,305.0,28.5,,113.0,7.82,4.68,22.0
Lorenzo Carter,2018,DE,Georgia,1,4.5,92.31,,,3,1,1,7,0,4,30.0,78.0,250.0,36.0,,130.0,,,22.0
Chad Thomas,2018,DE,Miami (FL),2,4.92,27.69,,,3,1,0,2,0,0,5.0,78.0,281.0,29.0,,116.0,,,22.0
Justin Reid,2018,S,Stanford,3,4.4,77.78,,,3,1,1,8,0,8,34.0,73.0,204.0,36.5,16.0,128.0,6.65,4.15,21.0
B.J. Hill,2018,DT,NC State,4,4.99,45.0,,,3,1,1,8,0,6,37.0,76.0,311.0,26.5,35.0,101.0,7.28,4.53,23.0
Fred Warner,2018,OLB,BYU,5,4.64,55.38,,,3,1,1,8,4,7,82.0,75.0,236.0,38.5,21.0,119.0,6.9,4.28,21.0
Royce Freeman,2018,RB,Oregon,2,4.54,43.33,,100.0,3,1,0,6,0,0,13.0,71.0,229.0,34.0,17.0,118.0,6.9,4.16,22.0
Nathan Shepherd,2018,DT,Fort Hays State,10,5.09,32.5,,,3,1,0,8,0,2,25.0,77.0,315.0,31.0,,112.0,7.5,4.53,24.0
Jerome Baker,2018,OLB,Ohio State,1,4.53,72.31,,,3,1,1,8,0,6,39.0,73.0,229.0,36.5,22.0,126.0,,,21.0
Geron Christian,2018,OT,Louisville,4,5.33,31.76,,,3,1,0,7,0,1,12.0,77.0,298.0,,19.0,,,,21.0
Derrick Nnadi,2018,DT,Florida State,2,5.38,0.0,,,3,1,1,8,0,6,38.0,73.0,317.0,27.0,25.0,96.0,8.15,5.02,22.0
Mason Rudolph,2018,QB,Oklahoma State,3,4.9,25.0,,99.34,3,1,0,8,0,1,10.0,77.0,235.0,26.0,,,,,23.0
Sam Hubbard,2018,DE,Ohio State,1,,,,,3,1,1,7,0,6,40.0,77.0,270.0,35.0,,116.0,6.84,4.32,23.0
Malik Jefferson,2018,OLB,Texas,2,4.52,73.85,,,3,1,0,6,0,0,3.0,75.0,236.0,36.0,27.0,125.0,,,21.0
Rasheem Green,2018,DT,USC,2,4.73,77.5,,,3,1,0,6,0,2,17.0,77.0,275.0,32.5,,118.0,7.24,4.39,21.0
Martinas Rankin,2018,OT,Mississippi State,3,,,,,3,1,0,3,0,0,7.0,76.0,308.0,,24.0,,,,23.0
Michael Gallup,2018,WR,Colorado State,7,4.51,38.0,,100.0,3,1,1,6,0,5,30.0,73.0,205.0,36.0,10.0,122.0,6.95,4.37,22.0
Tracy Walker,2018,S,Louisiana,8,,,,,3,1,0,6,0,2,13.0,,,,,,,,23.0
Orlando Brown Jr.,2018,OT,Oklahoma,2,5.85,0.0,,,3,1,1,8,4,8,69.0,80.0,345.0,19.5,14.0,82.0,7.87,5.38,22.0
Justin Jones,2018,DT,NC State,4,5.09,32.5,,,3,1,1,7,0,5,30.0,74.0,309.0,29.0,24.0,104.0,7.82,4.74,22.0
Rashaan Gaulden,2018,CB,Tennessee,2,4.61,8.89,,,3,1,0,3,0,0,1.0,73.0,193.0,30.0,8.0,119.0,7.16,4.33,23.0
Mark Andrews,2018,TE,Oklahoma,2,4.67,55.0,,74.71,3,1,1,8,3,4,51.0,77.0,256.0,31.0,17.0,113.0,7.34,4.38,23.0
Arden Key,2018,DE,LSU,1,,,,,3,1,1,8,0,4,24.0,78.0,238.0,31.0,,117.0,7.16,4.25,22.0
Oren Burks,2018,ILB,Vanderbilt,4,4.59,63.08,,,3,1,0,8,0,1,16.0,75.0,233.0,39.5,18.0,131.0,6.82,4.15,23.0
Joseph Noteboom,2018,OT,TCU,3,4.96,75.29,,,3,1,0,8,0,0,18.0,77.0,309.0,24.0,27.0,102.0,7.65,4.44,23.0
Deadrin Senat,2018,DT,South Florida,6,5.16,23.75,,,3,1,0,6,0,0,4.0,72.0,314.0,26.0,35.0,100.0,7.77,4.79,24.0
Tre'Quan Smith,2018,WR,UCF,4,,,,100.0,3,1,1,6,0,3,15.0,,,,,,,,22.0
Chukwuma Okorafor,2018,OT,Western Michigan,8,5.31,34.12,,,3,1,1,8,0,3,26.0,78.0,320.0,23.5,19.0,102.0,7.87,4.8,21.0
Ronnie Harrison,2018,S,Alabama,1,,,,,3,1,1,8,0,3,21.0,75.0,214.0,34.0,,120.0,,,21.0
Alex Cappa,2018,OT,Humboldt State,10,5.39,24.71,,,3,1,1,8,0,6,44.0,78.0,305.0,26.5,24.0,97.0,8.04,4.84,23.0
Tarvarius Moore,2018,S,Southern Miss,10,,,,,3,1,0,7,0,1,8.0,,,,,,,,22.0
Harrison Phillips,2018,DT,Stanford,3,5.21,17.5,,,3,1,1,8,0,4,35.0,76.0,307.0,32.0,42.0,103.0,7.28,4.5,22.0
Mason Cole,2018,C,Michigan,1,5.23,49.33,,,3,1,1,6,0,4,25.0,76.0,307.0,23.5,23.0,104.0,7.77,4.78,22.0
Jordan Akins,2018,TE,UCF,4,,,,54.43,3,1,0,7,0,1,16.0,75.0,249.0,,,,,,26.0
Isaac Yiadom,2018,CB,Boston College,4,4.52,28.89,,,3,1,0,8,0,2,16.0,73.0,190.0,,8.0,120.0,,4.18,22.0
Dorian O'Daniel,2018,OLB,Clemson,1,4.61,60.0,,,3,1,0,4,0,0,5.0,73.0,223.0,32.0,21.0,119.0,6.64,4.07,24.0
Ian Thomas,2018,TE,Indiana,4,4.74,43.33,,46.33,4,1,1,8,0,3,8.0,76.0,259.0,36.0,,123.0,7.15,4.2,22.0
Jalyn Holmes,2018,DE,Ohio State,1,4.82,43.08,,,4,1,0,8,0,0,8.0,77.0,283.0,32.0,25.0,,,,22.0
Keke Coutee,2018,WR,Texas Tech,4,4.43,54.0,,100.0,4,1,0,5,0,0,7.0,70.0,181.0,34.5,14.0,113.0,6.93,4.15,21.0
Nyheim Hines,2018,RB,NC State,4,4.38,70.0,,83.64,4,1,0,8,0,0,25.0,68.0,198.0,35.5,,119.0,7.18,4.35,21.0
Antonio Callaway,2018,WR,Florida,2,4.41,58.0,,53.89,4,1,0,3,0,1,5.0,71.0,200.0,34.0,,121.0,,,21.0
Josey Jewell,2018,ILB,Iowa,3,4.82,27.69,,,4,1,1,7,0,5,32.0,73.0,234.0,33.0,18.0,117.0,6.8,4.27,23.0
Chris Herndon,2018,TE,Miami (FL),2,,,,,4,1,0,4,0,2,6.0,76.0,253.0,,21.0,,,,22.0
Kyle Lauletta,2018,QB,Richmond,9,4.81,36.25,,,4,1,0,1,0,0,0.0,75.0,222.0,31.0,,113.0,6.95,4.07,23.0
Troy Apke,2018,S,Penn State,2,4.34,91.11,,,4,1,0,5,0,1,6.0,74.0,198.0,41.0,16.0,131.0,6.56,4.03,23.0
Nick Nelson,2018,CB,Wisconsin,3,4.52,28.89,,,4,1,0,2,0,0,1.0,71.0,208.0,,17.0,123.0,,,21.0
Brian Allen,2018,C,Michigan State,3,5.34,34.67,,,4,1,0,6,0,2,16.0,73.0,298.0,26.5,27.0,99.0,7.81,4.71,22.0
Mark Walton,2018,RB,Miami (FL),2,4.6,33.33,,95.01,4,1,0,2,0,0,3.0,70.0,202.0,31.5,18.0,118.0,,,21.0
DaeSean Hamilton,2018,WR,Penn State,2,,,,67.33,4,1,0,3,0,0,6.0,73.0,203.0,34.5,,118.0,6.84,4.15,23.0
Da'Shawn Hand,2018,DE,Alabama,1,,,,,4,1,0,8,0,2,16.0,,,,,,,,22.0
Joel Iyiegbuniwe,2018,LB,Western Kentucky,5,4.6,50.0,,,4,1,0,5,0,0,5.0,73.0,229.0,35.0,19.0,117.0,7.06,4.28,22.0
Dorance Armstrong Jr.,2018,DE,Kansas,10,4.87,35.38,,,4,1,0,8,0,1,22.0,76.0,257.0,30.0,20.0,118.0,7.12,4.23,21.0
Jordan Whitehead,2018,S,Pittsburgh,3,,,,,4,1,1,7,0,7,32.0,71.0,195.0,,21.0,,,,21.0
Anthony Averett,2018,CB,Alabama,1,4.36,64.44,,,4,1,0,5,0,1,11.0,72.0,185.0,31.5,13.0,119.0,6.93,4.4,23.0
Kyzir White,2018,S,West Virginia,4,,,,,4,1,1,8,0,4,31.0,74.0,216.0,35.5,21.0,113.0,,,22.0
Will Dissly,2018,TE,Washington,2,4.87,21.67,,29.69,4,1,1,8,0,5,16.0,76.0,262.0,28.0,15.0,111.0,7.07,4.4,22.0
Taron Johnson,2018,CB,Weber State,10,4.5,33.33,,,4,1,1,8,0,6,36.0,72.0,180.0,33.0,17.0,118.0,7.03,4.28,22.0
Kenny Young,2018,LB,UCLA,5,4.6,50.0,,,4,1,0,5,0,1,18.0,73.0,236.0,36.0,23.0,117.0,7.38,4.48,23.0
Durham Smythe,2018,TE,Notre Dame,2,4.81,31.67,,25.06,4,1,1,8,0,5,10.0,77.0,253.0,31.0,18.0,110.0,7.17,4.23,23.0
Armani Watts,2018,S,Texas A&M,2,,,,,4,1,0,4,0,0,3.0,71.0,205.0,35.0,13.0,120.0,7.25,4.37,22.0
Avonte Maddox,2018,CB,Pittsburgh,3,4.39,57.78,,,4,1,0,8,0,1,17.0,69.0,180.0,37.0,13.0,125.0,6.51,4.0,22.0
Ito Smith,2018,RB,Southern Miss,10,,,,100.0,4,1,0,4,0,0,6.0,,,,,,,,22.0
Rick Leonard,2018,OT,Florida State,2,,,,,4,1,0,4,0,0,0.0,79.0,311.0,,19.0,,,,21.0
Kentavius Street,2018,DT,NC State,4,4.87,60.0,,,4,1,0,8,0,0,11.0,74.0,280.0,,28.0,,,,22.0
Will Richardson,2018,OT,NC State,4,5.26,40.0,,,4,1,0,4,0,0,4.0,78.0,306.0,31.5,,108.0,7.8,4.83,22.0
Josh Sweat,2018,DE,Florida State,2,4.53,87.69,,,4,1,1,8,1,5,37.0,76.0,251.0,39.5,,124.0,,4.28,21.0
Kalen Ballage,2018,RB,Arizona State,3,4.46,56.67,,54.22,4,1,0,4,0,1,6.0,73.0,228.0,33.5,15.0,122.0,6.91,4.35,22.0
Jaleel Scott,2018,WR,New Mexico State,7,4.56,28.0,,100.0,4,1,0,3,0,0,0.0,77.0,218.0,34.5,16.0,124.0,7.2,4.4,23.0
J'Mon Moore,2018,WR,Missouri,4,,,,100.0,4,1,0,1,0,0,0.0,,,,,,,,23.0
Chase Edmonds,2018,RB,Fordham,10,4.55,41.67,,,4,1,0,8,0,1,21.0,69.0,205.0,34.0,19.0,122.0,6.79,4.07,22.0
John Franklin-Myers,2018,DE,S.F. Austin,10,4.75,53.85,,,4,1,1,8,0,5,38.0,76.0,283.0,33.0,26.0,113.0,7.36,4.48,21.0
Marquis Haynes,2018,OLB,Ole Miss,3,4.67,50.77,,,4,1,0,7,0,0,7.0,75.0,235.0,32.0,23.0,123.0,7.14,4.45,24.0
Dalton Schultz,2018,TE,Stanford,3,4.75,41.67,,24.02,4,1,1,8,0,4,30.0,77.0,244.0,32.0,15.0,120.0,7.0,4.4,22.0
Cole Madison,2018,OG,Washington State,4,5.33,29.33,,,5,2,0,0,0,0,0.0,77.0,308.0,28.5,26.0,97.0,7.86,4.88,23.0
R.J. McIntosh,2018,DT,Miami (FL),2,,,,,5,2,0,2,0,0,1.0,76.0,286.0,,,,,,22.0
Maurice Hurst Jr.,2018,DT,Michigan,1,,,,,5,2,0,8,0,1,11.0,74.0,292.0,,,,,,23.0
Shaquem Griffin,2018,OLB,UCF,4,4.38,95.38,,,5,2,0,3,0,0,4.0,73.0,227.0,,20.0,117.0,,,23.0
D.J. Reed,2018,CB,Kansas State,4,4.51,31.11,,,5,2,1,8,0,6,27.0,69.0,188.0,36.5,11.0,,,,21.0
Ja'Whaun Bentley,2018,ILB,Purdue,4,,,,,5,2,1,7,0,4,36.0,,,,,,,,22.0
Justin Watson,2018,WR,Pennsylvania,10,,,,,5,2,0,8,0,0,11.0,,,,,,,,22.0
Bilal Nichols,2018,DT,Delaware,9,4.95,50.0,,,5,2,1,8,0,5,37.0,76.0,306.0,,29.0,,,,21.0
Tre Flowers,2018,S,Oklahoma State,3,4.45,66.67,,,5,2,0,8,0,2,19.0,75.0,200.0,34.5,18.0,122.0,,,23.0
